song_name,movie_album,singers
O Priya Swagatham,Shubhalekhalu (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
Matthagajame,Rudhramadevi," S.P. Balasubrahmanyam,  Kailash Kher,  Chitra"
Balegundi Chudu,Chilakkottudu," S.P. Balasubrahmanyam,  Chitra"
Evarivo Nannu,Tharangalu," S.P. Balasubrahmanyam,  Chitra"
Aye Amaayika,OK Bangaram," A.R. Rahman,  Karthik"
Yedho Adaganaa,OK Bangaram," A.R. Rahman,  Shashaa Tirupati,  Sathyaprakash D"
Neetho Alaa,OK Bangaram," A.R. Rahman,  Karthik,  Darshana KT,  Maria Roe Vincent"
Ammai Abba,Bhale Mogadu," S.P. Balasubrahmanyam,  S. Janaki"
Takadhimi,Ami Thumi," Sweekar Agasthi,  Ramya Behara"
Sai Shirdi Sai,99 Songs (Telugu)," A.R. Rahman,  Bela Shende"
Dheemaga,Antariksham 9000 KMPH," Benny Dayal,  Anurag Kulkarni"
Maayedho Cheyyava,OK Bangaram," A.R. Rahman,  Karthik,  Shashaa Tirupati"
Mental Madhilo (Female),OK Bangaram," A.R. Rahman,  Darshana KT"
Nuvvu Leni,Rangula Ratnam, Kala Bhairava
Poddu Vali Poye,Thoorupu Sindhuram," S. P. Balasubrahmanyam,  Ilaiyaraaja"
Paccha Pacchani,Thoorupu Sindhuram," S. P. Balasubrahmanyam,  Ilaiyaraaja"
Okey Oka Asha,Ravanna," S.A. Raj Kumar,  Udit Narayan,  K. S. Chithra"
Thakadheemtha,Maa Uri Maaraju," Koti,  S.P. Balasubrahmanyam"
Cheliya,Om 3D," K. Sai Karthik,  Achu,  Ramya NSK"
Gagana Seemaladire Maa Inta,Swapna Lokam," S. P. Balasubrahmanyam,  Swarnalatha"
Kayyala Ramude,Gandhi," Mani Sharma,  Mano,  Parthasarathi"
Poolakomma,Ravanna," S.A. Raj Kumar,  Udit Narayan,  Sujatha Mohan"
Aa Merupemito,"Aa Merupemito (From ""Aa Ammayi Gurinchi Meeku Cheppali"")"," Vivek Sagar,  Anurag Kulkarni"
Gorrantha Guttundi,Chelikaadu," S.A. Raj Kumar,  K. S. Chithra,  Anuradha Sriram"
Balakumari Syga,Pilla Nachindhi," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Lovvuki Age,Kshemmanga Velli Labamga Randi," Vandemataram Srinivas,  Udit Narayan,  Anuradha Sriram"
Konangi Konangi,Chanti (New)," Sri,  Kalpana"
Ontlo Netturu,Chanti (New)," Sri,  Karthik,  Anuradha Sriram"
Jallu Manada,Modati Cinema," Swaraj,  Sunitha,  S.P. Charan"
Sri Saradamba,Sruthilayalu," K. V. Mahadevan,  S. Janaki"
"Lali Jo Lali Jo (From ""Indhrudu Chandhrudu"")",Priyamaina Nannaku, S.P. Balasubrahmanyam
Takadhimi (Club Version),Ami Thumi," Sweekar Agasthi,  Ramya Behara"
Naapadam,Yuvakudu," Mani Sharma,  Parthasarathy"
Dolu Baja Sannayi,Kalyana Ramudu," Mani Sharma,  Shankar Mahadevan"
Evamma Vainamamamma,Sri Seetharamula Kalyanam Chothamu Rarandi," M. M. Keeravani,  K. S. Chithra,  S.P. Balasubrahmanyam,  Sunitha"
Mattiloni Chettu,Dhoni," Ilaiyaraaja,  S.P. Balasubrahmanyam"
Maikam Kaadidi,Yuvakudu," Mani Sharma,  Charan"
Dimdim Thara Dimdim Thara,Oh Chinadana," Vidhya Sagar,  S.P. Balasubrahmanyam,  Uma Ramanan"
Adavalla Mandi Memu,Kshemmanga Velli Labamga Randi," Vandemataram Srinivas,  K. S. Chithra,  Mano"
Magha Masam,Neeke Manasichanu," Sri,  Rajesh Krishnan,  Gopika Poornima"
Chik Ladki,Navvulaata," M.M. Sreelekha,  Mano"
Kya Scene Hai,Sisindhri," Raj,  Anupama,  Mano"
Mandalin Beat,Sruthilayalu, K. V. Mahadevan
Ammammagarillu,Ammammagarillu, S.P. Balasubrahmanyam
Urikee Chiru Chinuka,Modati Cinema," Swaraj,  Sri Ram Partha Sarthy"
Yemi Cheyyavachu,Rangeli, Mano
Om Ani,Sri Seetharamula Kalyanam Chothamu Rarandi," M. M. Keeravani,  S.P. Balasubrahmanyam,  Sunitha"
Adigava Matyna,Keka," Chakri,  Kousalya,  Hemachandra"
Soniye,Samudram, Sashi Pretham
Chitti Chitti Adugaa,Dhoni," Ilaiyaraaja,  Shreya Ghoshal,  Naresh Iyer"
Muddu Gumma,Thaali," Vidhya Sagar,  Sujatha Mohan,  Gangadhar"
