song_name,movie_album,singers
Evaro Ravali,Pournamy," Devi Sri Prasad,  K. S. Chithra"
Yawana Veena Puvvula Vana,Pelli," S.A. Raj Kumar,  S.P. Balasubrahmanyam"
Gelupuleni Samaram,Mahanati, Ramya Behara
Amalapura Bulloda,Rowdy Alludu," S.P. Balasubrahmanyam,  Radhika"
Ra Rakumara,Govindudu Andarivaadele," Yuvan Shankar Raja,  Chinmayi Sripada"
Oura Ammaka Chella,Apathbhandavudu," S.P. Balasubrahmanyam,  Chitra"
Rave Rajahamsala,Muddula Mogudu," Koti,  S.P. Balasubrahmanyam,  Sujatha Mohan"
Endhukuley Ila,Sambaram, R.P. Patnaik
Ok Anesa,Kotha Bangaru Lokam," Naresh Iyer,  Kalyani Nair"
Urumulu Nimuvvalai,Chandralekha," Sandeep Chowta,  Rajesh Krishnan,  Sujatha Mohan"
Meghaallo,Seethamma Vakitlo Sirimalle Chettu," Mickey J. Mayor,  Karthik,  Sreerama Chandra"
Padam Kadala,Nuvvostanante Nenoddantana, Sagar
Naakey Ganaka,Muddula Priyudu," M. M. Keeravani,  K. S. Chithra,  S.P. Balasubrahmanyam"
Yaevaindho,Balupu," S. Thaman,  S.P. Balasubrahmanyam,  Geetha Madhuri"
Aadinchi Ashta Chamma,Ashta Chamma, Sri Krishna
Manasa Ottu,Pilisthe Palukutha, K. S. Chithra
Chamak Chamak Cham (Remix),Inttelligent," S. P. B. Charan,  Harini Ivaturi"
Nela Raja,Surya IPS," Ilaiyaraaja,  K. S. Chithra,  S.P. Balasubrahmanyam"
Dosti,RRR - Telugu, Hemachandra
Samajavaragamana - Female,Ala Vaikunthapurramuloo, Shreya Ghoshal
Om Namo Nama Yavvanama,Surya IPS," Ilaiyaraaja,  K. S. Chithra,  S.P. Balasubrahmanyam"
Kalaya Nijama,Coolie No. 1," P. Susheela,  Ilaiyaraaja"
Manase Thadisela,Kick," Thaman S,  Vardhani Thaman"
Vidhatha Talapuna,Sirivennela," S.P. Balasubrahmanyam,  P. Susheela"
Ala Vaikunthapurramuloo Dj Mashup,Ala Vaikunthapurramuloo," Sid Sriram,  Anurag Kulkarni,  Mangli,  Roll Rida,  Rahul Nambiar,  Armaan Malik,  Lady Kash,  Rahul Sipligunj,  Blaaze,  Sri Krishna,  Priya Sisters"
Hay Rey Hai,Okkadu," Mani Sharma,  K. S. Chithra,  Karthik"
Champesindhe,Power - Unlimited," S. Thaman,  Karthik"
Chilaka Ye Thodu Leka,Subhalagnam," S.V. Krishna Reddy,  S.P. Balasubrahmanyam"
Meriseti Jaabili,Jayam Manadera," Kumar Sanu,  Swarnalatha"
Aalayana Harathilo,Suswagatham, S. P. Balasubrahmanyam
Konchem Ishtam,Konchem Ishtam Konchem Kashtam," Shankar-Ehsaan-Loy,  Shankar Mahadevan"
My Heart (Remix),Jalsa, KK
Neeli Vennila,Rajendrudu Gajendrudu (Original Motion Picture Soundtrack)," Jonnuvittula,  S.P.Balasubramanyam,  Chitra"
Patala Pallakivai (Male),Nuvvu Vasthavani," S.A. Raj Kumar,  S.P. Balasubrahmanyam"
Oke Okka Kshanam,Kalusukovalani," Devi Sri Prasad,  Sumangali"
Daredumdadum,Mukunda," Mickey J Meyer,  Sai Shivani"
Srivaru Doragaru,Sitha Rama Raju," M. M. Keeravani,  K. S. Chithra,  S.P. Balasubrahmanyam"
Chinuku Chinuku,Maayalodu (Original Motion Picture Soundtrack)," Jonnavittula,  S.P.Balasubramanyam,  Chitra"
Lalitha Priya,Rudraveena," Ilaiyaraaja,  K. S. Chithra,  K.J. Yesudas"
Prema Prema,Kalisundham Raa," S.A. Raj Kumar,  Unni Krishnan"
Anaganaga Oka,Pelli Pandiri," Vandemataram Srinivas,  K. S. Chithra"
Nee Navvu,Antham, S.P. Balasubrahmanyam
Ammai Nachesindhi,Nuvve Nuvve," Koti,  Rajesh Krishnan,  Kousalya"
Chinuku Thadiki,Nee Sneham," R.P. Patnaik,  Usha"
Dhim Thana,Kick," Thaman S,  K. S. Chithra"
O My Brotheru,Aarya, Ravi Varma
Santhosham Sagam Balam,Chirunavvuto," Mani Sharma,  S.P. Balasubrahmanyam"
Gali Chiru Gali (Bit),Vasantham," S.A. Raj Kumar,  K. S. Chithra"
Koila Paata,Ninne Premista," S.A. Raj Kumar,  K. S. Chithra,  S.P. Balasubrahmanyam"
Om Namami,Aavida Maa Aavide," Sri,  K. S. Chithra,  Hariharan"
Mallela Vaana,Raja," S.A. Raj Kumar,  K. S. Chithra,  Mano"
Ye Swasalo,Nenunnanu," M. M. Keeravani,  K. S. Chithra"
Nee Navvule,Malleswari," Kumar Sanu,  Sunitha"
Vampulavykhari,April 1st Vidudala," Ilaiyaraaja,  S.P. Balasubrahmanyam"
Yeeno Yenno,Pelli Chesukundham," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Aalochana Vasthene,Oh My Friend," Rahul Raj,  Ranjith,  Sangeetha Prabhu,  Sarah Straub"
Sa Sa Sye,Bhadra," Devi Sri Prasad,  K. S. Chithra,  Karthik"
Chukkalanni,Suryavamsam," S. P. Balasubrahmanyam,  Sujatha Mohan"
Ippatikippudu,Premaku Velayera," S.V. Krishna Reddy,  K. S. Chithra,  Unni Krishnan"
Eppudu,Oopiri," Karthik,  Gopi Sunder"
Ammerpet,Eeswar (New), R.P. Patnaik
Yemaindo Yemo Ee Vela,Tholiprema, S.P. Balasubrahmanyam
Emaindamma Eenadu,Eduruleni Manishi," S.A. Raj Kumar,  Hariharan"
Aho! Oka Manasuku,Allari Priyudu (Original Motion Picture Soundtrack)," S.P.Balasubramanyam,  Chitra,  Seetharama Shastry"
Jara Jara,Rakhi," Devi Sri Prasad,  Andrea"
Sirivennela - Female,Shyam Singha Roy - Telugu, Chaitra Ambadipudi
Thillana,Jai Chiranjeeva," Mani Sharma,  Shankar Mahadevan"
Emo Ekkadundo,Premante Idera," Ramana Gogula,  K. S. Chithra,  S.P. Balasubrahmanyam"
Thamups Up Thunder,Jai Chiranjeeva," Mani Sharma,  Maha Lakshmi,  Nihal"
Boss Memory Loss,Kick," Thaman S,  Ranjith,  Rahul Nambiar,  Ali,  Navin Madhav,  Raviteja"
Yemcheddam,Seethamma Vakitlo Sirimalle Chettu," Mickey J. Mayor,  Ranjith,  Sreerama Chandra,  Karthik"
Abhi Vandanam Yama Rajagrani,Yamaleela," S.V. Krishna Reddy,  S.P. Balasubrahmanyam,  K. S. Chithra"
Ivali Ivvalyna,Taraka Ramudu," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Beat In My Heart,Gulabi," Mano,  Gayatri Iyer"
Putthadi Bommaku Siggalu,Allari Primikudu (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
Konthakalam Kindata,Nee Sneham," R.P. Patnaik,  Rajesh Krishnan"
Ee Kshnam Oke Oka Korika,Ela Cheppanu," Koti,  K. S. Chithra"
Ila Choodu,Nee Sneham," R.P. Patnaik,  Rajesh Krishnan,  Usha"
Yemo Aunemo,Nee Sneham," R.P. Patnaik,  Rajesh Krishnan,  Usha"
Aata,Aata," Devi Sri Prasad,  Shankar Mahadevan"
Chalaki Chilipi Vayasu,Maayalodu (Original Motion Picture Soundtrack)," Bhuvana Chandra,  S.P.Balasubramanyam,  Chitra"
Sinne Sinne Korikaladaga,Swayam Krishi, S. Janaki
Eppudainna,Mahanubhavudu, Swetha Pandit
I Dont Want Luv,Kick," Thaman S,  Karthik"
Chandamama Chandamama,Seemasimham," Mani Sharma,  Hariharan,  Sujatha Mohan"
Ee Premaki,Nenu Sailaja," K. S. Chithra,  Devi Sri Prasad"
Kovello Depam La,Nenu Premisthunnanu," Sirpi,  S.P. Balasubrahmanyam"
Computerlu,Nuvve Nuvve," Koti,  Anuradha Sriram,  Devan Ekambaram,  Trivikram Srinivas"
Ninne Ninne,Sasirekha Parinayam," Mani Sharma,  K. S. Chithra"
Parugu,Parugu," Mani Sharma,  Ranjith"
