,song_name,movie_album,singers
635,Two In One,Aavida Maa Aavide," Sri,  S.P. Balasubrahmanyam,  Sujatha Mohan,  Anuradha Sriram"
636,Rangula Taraka,Ela Cheppanu," Koti,  Karthik,  Sunitha"
637,Neeru Leni Nadilo,Panchadara Chilaka, Rajesh Krishnan
638,Maa Thandri Suryuda,Suryudu, K.J. Yesudas
639,Nuvante Chala Istam,Ravanna," S.A. Raj Kumar,  K. S. Chithra,  Rajesh Krishnan"
640,Rosa Rosa Rosa,Rajahamsa," M.M. Keeravani,  K. S. Chithra"
641,O Naa Maina,Hello Alludu," Raj-Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
643,Manninchamma,Pellikanuka," M.M. Keeravani,  S.P. Balasubrahmanyam"
644,Neeli Kanumallo,Nawab," A.R. Rahman,  Nakul Abhyankar"
645,Life Of Ram - Lofi Mix,"Life Of Ram - Lofi Mix (From ""Jaanu"")", Pradeep Kumar
646,Music Bit (Thillana),Eeswar (New),
648,Changu Bala Bagundi,Number One (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
649,Anukunnana Enadyna,Panchadara Chilaka, S.P. Balasubrahmanyam
650,Nee Choopu Chalamma,Preminche Manasu Alludugaru Vachcharu Telugu," S.A. Rajkumar,  Rajesh Krishnan"
653,Suvvi Suvvi Suwala (Female Version),Pellikanuka," M.M. Keeravani,  K. S. Chithra"
654,Evarini Aadagali,Janaki Ramudu," K. V. Mahadevan,  S.P. Balasubrahmanyam,  P. Susheela"
655,Changre Hangaama,Prema Katha," Sandeep Chowta,  Soumya Rai"
657,Sirivennela - Lofi,Sirivennela - Lofi," Anurag Kulkarni,  S VIII"
658,Awaara,Josh, Soumya Rai
659,Nee Chenthe Oka,Swarabhishekam," Vidhya Sagar,  K. S. Chithra,  Mano"
661,Rama Chiluka Ragalu F,Sree Srimathi Satyabhama," K. S. Chithra,  S.V. Krishna Reddy"
662,Mounamenduke Koila,Panchadara Chilaka, S.P. Balasubrahmanyam
663,Em Papa,M. Dharmaraju M.A.," Raj-Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
664,Vinudu Vinudu,Sitha Rama Raju," M. M. Keeravani,  Nagarjuna,  Srivalli"
665,Thidathara Kodathara,Ashta Chamma, Sreerama Chandra
666,Nammalo Ledo..,Ashta Chamma," Sreerama Chandra,  Manasa Veena"
667,Chinnari Manasuku,Sankalpam," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
668,Patallo,Sirivennela," P. Susheela,  N.S. Prakash Rao"
669,Kammani Kantireppala,Pellikanuka," M.M. Keeravani,  K. S. Chithra,  S.P. Balasubrahmanyam"
670,Chettumedhi Usiri,Taraka Ramudu," Koti,  S.P. Balasubrahmanyam"
